0,1,2,376,21,39,person0
1,1,3,376,17,39,person0
2,1,3,375,12,39,person0
3,1,1,374,10,33,person0
4,1,1,375,10,30,person0
5,1,0,376,10,27,person0
6,1,0,369,10,26,person0
7,1,0,372,10,21,person0
8,1,0,368,10,22,person0
9,1,0,365,10,19,person0
10,1,0,358,10,25,person0
11,1,0,355,10,30,person0
12,1,0,354,10,28,person0
13,1,0,351,12,23,person0
14,1,0,342,11,25,person0
15,1,5,330,13,28,person0
16,1,8,329,12,23,person0
17,1,10,322,15,28,person0
18,1,16,319,12,31,person0
19,1,20,313,14,32,person0
20,1,29,309,11,28,person0
21,1,30,305,17,28,person0
22,1,34,301,16,27,person0
23,1,37,296,15,25,person0
24,1,41,291,13,33,person0
25,1,47,284,16,35,person0
26,1,51,281,17,32,person0
27,1,53,282,16,32,person0
28,1,54,282,15,31,person0
29,1,61,277,10,30,person0
30,1,71,261,12,39,person0
31,1,71,262,14,33,person0
32,1,75,258,12,33,person0
33,1,79,254,11,33,person0
34,1,81,251,12,27,person0
35,1,88,247,13,31,person0
36,1,93,246,11,28,person0
37,1,95,242,13,34,person0
38,1,100,234,10,35,person0
39,1,101,233,11,26,person0
40,1,108,220,13,28,person0
41,1,108,214,13,34,person0
42,1,112,209,12,36,person0
43,1,113,206,16,36,person0
44,1,117,199,13,35,person0
45,1,120,189,12,33,person0
46,1,125,182,10,36,person0
47,1,125,180,12,34,person0
48,1,126,172,12,30,person0
49,1,119,168,22,44,person0
50,1,123,154,19,39,person0
51,1,129,152,14,36,person0
52,1,130,147,15,37,person0
53,1,134,144,12,35,person0
54,1,133,135,17,35,person0
55,1,138,131,15,31,person0
56,1,139,124,18,27,person0
57,1,140,113,17,37,person0
58,1,141,105,12,30,person0
59,1,139,105,18,33,person0
60,1,140,89,15,32,person0
61,1,139,76,12,38,person0
62,1,137,77,14,32,person0
63,1,137,71,16,30,person0
64,1,133,70,18,31,person0
65,1,128,67,17,26,person0
66,1,128,65,16,25,person0
67,1,123,64,20,28,person0
68,1,122,63,18,24,person0
69,1,122,64,14,25,person0
70,1,112,67,17,25,person0
71,1,112,73,16,23,person0
72,1,110,75,13,26,person0
73,1,107,77,10,28,person0
74,1,103,78,13,23,person0
75,1,95,77,14,29,person0
76,1,90,80,18,28,person0
77,1,90,80,16,28,person0
78,1,89,80,15,28,person0
79,1,89,79,13,27,person0
80,1,88,79,11,27,person0
81,1,90,80,11,27,person0
82,1,91,81,10,27,person0
83,1,91,80,11,29,person0
84,1,91,79,11,31,person0
85,1,91,78,13,32,person0
86,1,91,77,15,32,person0
87,1,93,81,11,26,person0
88,1,94,78,12,30,person0
89,1,94,75,13,33,person0
90,1,99,79,13,28,person0
91,1,106,70,10,29,person0
92,1,109,70,11,27,person0
93,1,109,69,14,30,person0
94,1,117,67,13,34,person0
95,1,119,67,13,32,person0
96,1,129,69,13,29,person0
97,1,132,70,13,29,person0
98,1,135,71,12,29,person0
99,1,136,69,15,27,person0
100,1,143,67,11,30,person0
101,1,154,77,14,28,person0
102,1,160,80,16,28,person0
103,1,167,88,13,25,person0
104,1,174,89,11,28,person0
105,1,178,92,12,31,person0
106,1,189,108,11,24,person0
107,1,192,114,15,18,person0
108,1,198,121,14,19,person0
109,1,204,128,14,20,person0
110,1,210,135,13,21,person0
111,1,217,142,12,21,person0
112,1,223,149,11,22,person0
113,1,229,156,11,23,person0
114,1,235,163,10,24,person0
115,1,238,164,10,22,person0
116,1,239,162,12,23,person0
117,1,236,162,14,28,person0
118,1,236,163,14,27,person0
119,1,237,164,14,27,person0
120,1,237,165,14,26,person0
121,1,237,166,13,27,person0
122,1,237,167,12,28,person0
123,1,237,170,13,26,person0
124,1,236,173,13,24,person0
